en,fr,it,nl,ja,da,name,identifier,type,country,is_org_file,is_publisher
Baylor College of Medicine Children's Foundation Malawi,,,,,,Baylor College of Medicine Children's Foundation Malawi,MW-CNM-BCM-CF,22,Malawi,true,true
Disability Rights Fund,,,,,,Disability Rights Fund,US-EIN-27-5026293,21,United States,true,true
Catholic Relief Services,,,,,,Catholic Relief Services,US-EIN-13-5563422,21,United States,,true
ARK (Absolute Return for Kids),,,,,,ARK (Absolute Return for Kids),GB-COH-04589451,21,United Kingdom,,true
GEMS Education Solutions,,,,,,GEMS Education Solutions,GB-COH-07669775,70,Ghana,true,true
Wetlands International,,,,,,Wetlands International,NL-KVK-9099028,21,,,true
Action Against Hunger,,,,,,Action Against Hunger,GB-CHC-1047501,21,United Kingdom,true,true
Population Services International,,,,,,Population Services International,XI-IATI-21032,21,,true,true
Afghanistan and Central Asian Association,,,,,,Afghanistan and Central Asian Association,GB-CHC-1096908,21,United Kingdom,true,true
Indigo Trust,,,,,,Indigo Trust,GB-CHC-1075920,60,United Kingdom,true,true
Fair Wear Foundation,,,,,,Fair Wear Foundation,NL-KVK-34111374,21,Netherlands,,true
Netherlands Red Cross,,,,,,Netherlands Red Cross,NL-KVK-40409352,21,Netherlands,,true
Marie Stopes International,,,,,,Marie Stopes International,GB-COH-1102208,21,United Kingdom,true,true
Stichting fondsbeheer DGGF lokaal MKB,,,,,,Stichting fondsbeheer DGGF lokaal MKB,NL-KVK-61172863,60,Netherlands,,true
Target TB,,,,,,Target TB,GB-CHC-1098752,21,United Kingdom,,true
Water Works,,,,,,Water Works,GB-CHC-1158206,21,United Kingdom,true,true
Department of Interior,,,,,,Department of Interior,US-9,10,,true,true
Department of Health and Human Services,,,,,,Department of Health and Human Services,US-8,10,,true,true
Department of Defense,,,,,,Department of Defense,US-7,10,,true,true
U.S. Department of the Treasury,,,,,,U.S. Department of the Treasury,US-6,10,,true,true
Simprints,,,,,,Simprints,GB-COH-8835431,21,United Kingdom,true,true
U.S. Department of Agriculture,,,,,,U.S. Department of Agriculture,US-2,10,,true,true
Department of State and USAID,,,,,,Department of State and USAID,US-1,10,,true,true
International Development Law Organization,,,,,,International Development Law Organization,XM-DAC-47059,40,Italy,true,true
IOD PARC,,,,,,IOD PARC,GB-COH-03613839,70,United Kingdom,true,true
Railway Children,,,,,,Railway Children,GB-CHC-1058991,21,United Kingdom,true,true
Article19,,,,,,Article19,GB-CHC-327421,21,United Kingdom,true,true
